Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg)
3035.261824324324,0.0002230227397548156,63.40714114662502,4.452211612127436e-05,57.48017598711298
3057.256475225225,0.000440394603137278,60.60744042148495,4.593327777799125e-05,30.84308836533648
3079.251126126126,0.0004329410248009336,59.95334731036152,5.355058695345266e-05,13.13716603228704
3101.245777027027,0.0001833520588620254,64.12403881949697,3.716924544244595e-05,21.52707846706333
3123.240427927928,1.158900618161667e-05,134.6330777747821,1.384415218605333e-05,89.88187752673755
3145.235078828829,3.631367479322252e-05,97.05049995725625,3.387384901293548e-05,140.0595347304365
3167.22972972973,3.61616949849372e-05,120.6679067976683,5.584502508288548e-05,123.9688805696021
3189.224380630631,8.740802577091147e-07,12.21760187099933,5.976599205750421e-05,103.7771822440044
3211.219031531532,2.154088291950999e-05,108.9900437617891,3.874623438674964e-05,68.26832110521157
3233.213682432433,1.728812340567145e-05,42.32407890109742,3.819189132723358e-05,4.626799338907139
3255.208333333333,3.127772990191211e-05,3.395003965671518,4.93190703996578e-05,163.1185019882202
3277.202984234234,4.139566456263276e-05,174.8693395113285,5.191662948431367e-05,159.8816650000427
3299.197635135135,4.929764368437026e-05,157.7715277459652,3.651310079036302e-05,153.3096888845179
3321.192286036036,2.688451897628107e-05,136.6640674017161,2.764288060080352e-05,26.2419847922866
3343.186936936937,2.499478186073944e-05,6.836114502406566,8.609802248323511e-05,4.272563567277895
3365.181587837838,5.182185123802408e-05,11.30304019543485,0.000100698676319882,174.0974623986085
3387.176238738739,6.007080376383856e-05,30.23030787685065,8.959479663794612e-05,157.8875148922202
3409.170889639639,3.551698808220869e-05,57.69767407384201,6.01468089542609e-05,136.4562214214727
3431.16554054054,3.224723496108885e-05,147.3007666144602,3.342764155860773e-05,66.44772112149757
3453.160191441441,3.531686341526796e-05,166.293621912895,3.312069998455005e-05,22.59945757030496
3475.154842342342,9.863767824282383e-07,51.14354304660565,8.736069002330814e-06,33.8360930331886
3497.149493243243,3.116743815414976e-05,165.4675504573972,4.558804079352397e-05,22.10745113900258
3519.144144144144,3.688896345190515e-05,164.777531404322,4.709572709357488e-05,12.87665569946541
3541.138795045045,2.771479060052145e-05,141.4189669257236,4.326164743002556e-05,146.1374726850832
3563.133445945946,3.382961694210012e-05,82.23664723208853,6.07249266640552e-05,103.3147356193068
3585.128096846847,5.087706722393076e-05,50.56079564178744,6.793198194260326e-05,69.39285615363045
3607.122747747748,5.30810705708613e-05,25.85829183605687,7.736483183133917e-05,43.1341396055068
3629.117398648649,5.274495329328225e-05,5.039143304407653,7.488709372303576e-05,37.31317554849117
3651.112049549549,3.950758187460967e-05,0.5492706630095033,4.556437165839726e-05,44.48972681028413
3673.10670045045,7.507735503255475e-06,11.20279676712568,1.709626757438728e-05,87.10101637400203
3695.101351351351,2.494210592870507e-05,145.0263765907984,2.327608319171749e-05,127.3190140693232
3717.096002252252,4.925564234731667e-05,131.1190508787626,2.894413925011345e-05,115.836472285181
3739.090653153153,4.635038003106329e-05,133.0709524131056,1.714745195996721e-05,72.6627404052081
3761.085304054054,2.868065246056451e-05,148.6997203614076,3.141808288625963e-05,3.072136275718503
3783.079954954955,2.634199914088393e-05,151.070683264256,3.872986599942502e-05,3.407230747832149
3805.074605855856,3.306942923576073e-05,148.7495061180117,1.757130202314833e-05,62.98241353677825
3827.069256756757,4.237838145042094e-05,160.218570712763,5.013549532878586e-05,150.4152690544755
3849.063907657658,4.403293424171025e-05,177.0557780243408,7.263660419030147e-05,163.4007177863859
3871.058558558559,2.206938241367597e-05,23.78142390455841,5.274015039710741e-05,157.9173961271159
3893.05320945946,1.461930823982502e-05,174.7400744758548,2.457765402509816e-05,124.4676560555322
3915.04786036036,3.156002838524452e-05,26.14901932496502,1.045232425396913e-05,40.29796352642749
3937.042511261261,2.440598549116708e-05,22.02501724010995,2.197815035005319e-05,150.2251424493849
3959.037162162162,2.341763156420163e-05,171.8743542896929,2.446587809799218e-05,151.6655397352924
3981.031813063063,6.411777251020427e-05,30.52520411455893,2.243528745996726e-05,10.32921986176552
4003.026463963964,0.000241467669092707,53.46486074986072,3.431806815474583e-05,24.67092555001033
4025.021114864865,0.0004840408693819711,58.8037277045914,4.546284142895453e-05,19.1956833980978
4047.015765765766,0.0004701973417918914,59.72574091352607,4.65460855237884e-05,13.82836083835748
4069.010416666667,0.0001953330125954659,57.832356365531,3.339843233561258e-05,174.1559197236544
4091.005067567567,1.513471564224445e-05,38.5921378125064,1.463839810050761e-05,112.952519855957
4112.999718468468,6.87282014932431e-06,44.18867377107045,2.108411975569107e-05,7.05182573725429
4134.994369369369,2.920761592671709e-05,37.99455139577577,2.067870292175411e-05,174.3687427580587
4156.98902027027,2.611519070923791e-05,174.1940121622228,1.160563506730344e-05,137.8701326402992
4178.983671171171,3.53530269887688e-05,103.2685341114958,3.826345643728348e-05,175.6843065074967
4200.978322072072,4.017571800371996e-05,81.8442270135026,3.75089107583498e-05,15.80186558695577
4222.972972972973,2.48409488108325e-05,98.55525948632021,1.08521390827479e-05,173.3781484384313
4244.967623873874,3.144633051052591e-05,132.292534800229,2.95311587319935e-05,73.57991324000128
4266.962274774774,4.018427715329075e-05,118.4541521149207,4.084266087352814e-05,66.64429379279382
4288.956925675676,4.259274613116065e-05,92.67320830473528,3.552771813017558e-05,59.49353906927272
4310.951576576576,4.505745231172516e-05,76.12876657844336,2.788161681830764e-05,51.4992590346661
4332.946227477478,4.090190435727963e-05,59.87770872105936,1.640332425643498e-05,17.00109561931813
4354.940878378378,3.181436445276912e-05,15.54915448303655,2.063086052345391e-05,117.1460863491962
4376.935529279279,4.067281784434857e-05,140.3447977153486,3.010481645297172e-05,104.4270860117284
4398.93018018018,4.470097095651192e-05,104.8928036135456,2.664112786318444e-05,104.070261401377
4420.924831081081,3.602715482038791e-05,71.7884377891843,1.967396823373082e-05,66.64604995319475
4442.919481981982,1.79759478050331e-05,29.81820725355465,2.894438261429684e-05,13.58066052435824
4464.914132882883,3.3665732170182e-05,145.1816446475171,4.497030080968586e-05,177.0581294129223
4486.908783783783,6.564468837390143e-05,143.928217669522,5.338726904749055e-05,171.1241307942477
4508.903434684685,7.312353021685394e-05,150.6396803097363,5.37385578191114e-05,169.1519753463108
4530.898085585585,5.268389176191006e-05,172.1281927215993,5.123958778392868e-05,12.47687740162333
4552.892736486487,4.719580442788147e-05,33.39297645501509,6.484496347602251e-05,42.33032451854768
4574.887387387387,4.64246601824819e-05,40.27652583337027,5.766248392728688e-05,39.0962059928596
4596.882038288289,2.057230317435804e-05,172.2134888824168,3.224481272546765e-05,151.3169665104258
4618.876689189189,4.058579700280683e-05,79.73909489071444,6.206306235540016e-05,102.1434213528758
4640.87134009009,4.972792537477377e-05,70.73718657594179,7.536208884765699e-05,104.5903456820471
4662.865990990991,3.453076499213557e-05,94.79078810851161,6.985756177034931e-05,113.7669524865765
4684.860641891892,3.602558180745872e-05,131.7012902426696,4.447709712158171e-05,125.4470050703788
4706.855292792793,4.219237394947537e-05,135.6529954444161,1.782109258941692e-05,154.8919177467203
4728.849943693694,5.656120292144656e-05,113.3221859894033,2.029258703755513e-05,92.09471761512062
4750.844594594594,7.848262082637432e-05,94.19028440935703,5.733306362199702e-05,72.60097998756777
4772.839245495496,7.218034230848459e-05,97.36297171207197,5.540867710499368e-05,63.67127196020213
4794.833896396396,4.936312071897122e-05,123.4655289573127,2.893306673444237e-05,15.81104851349052
4816.828547297298,2.248719941600119e-05,139.1874920339803,5.739021722761994e-05,155.1672714937893
4838.823198198198,8.781053806191691e-06,175.7592611956963,7.672415603055938e-05,160.567172879327
4860.817849099099,6.898262740915696e-06,31.70108673712451,4.478345723396839e-05,162.3129742064574
4882.8125,5.709316769058215e-05,10.49465597972969,1.467956826788167e-05,78.97064529614494
4904.807150900901,7.823207522129084e-05,20.12586093044315,1.964789926565791e-05,64.89073877348233
4926.801801801802,4.514878910773538e-05,41.35512819717235,1.110711878717405e-05,120.8959420704479
4948.796452702702,2.834570428905562e-05,113.6022212691007,7.765622786187773e-06,144.6690122771555
4970.791103603604,3.916592279742765e-05,140.2718930238106,7.468525952481425e-06,33.62313998276197
4992.785754504504,2.523095150489201e-05,158.3575198868977,2.69023202362787e-05,66.98155462608466
5014.780405405405,7.767949965510913e-06,43.34259894951413,3.147676236391623e-05,81.6333790500715
5036.775056306306,8.196537967405632e-05,0.6214863665156564,2.321026070622668e-05,91.63087032164327
5058.769707207207,0.0004556716990330491,1.689809005460183,2.318070573929154e-05,64.45625393690869
5080.764358108108,0.0008946825056591772,2.936884199179123,1.822681390526416e-05,32.52902942414383
5102.759009009009,0.0007925365359833777,3.062541838225188,1.808492884642886e-05,43.94959436977435
5124.753659909909,0.0003221655014768102,2.67439193817078,5.436490510851615e-05,21.18040994052776
5146.748310810811,7.899965128209696e-05,13.10853193149815,4.886906695635171e-05,22.48520311953684
5168.742961711711,6.247426726340729e-05,30.98079063509766,3.527009784762863e-05,76.98910702403018
5190.737612612613,5.548605643065766e-05,35.0835050327151,4.613601463052736e-05,99.57941974364886
5212.732263513513,5.177878931114728e-05,53.3633132905752,1.586287264351394e-05,125.729793499543
5234.726914414415,6.729540949385441e-05,55.73181164062181,5.348782900202103e-05,45.70991280874371
5256.721565315315,5.059062973434532e-05,45.52081338122579,7.684733288866747e-05,35.17515217505823
5278.716216216216,1.096377122891078e-05,18.80913212372391,5.775563900273853e-05,14.78192461619795
5300.710867117117,4.380985408590076e-06,114.8427595616221,4.346738857255122e-05,177.0151090176231
5322.705518018018,1.176387581474612e-05,11.61650913116436,2.456956156539537e-05,2.260695643264804
5344.700168918919,1.718557779454316e-05,25.147133745515,9.883203721140758e-06,84.10717819659254
5366.69481981982,2.284167218763659e-05,6.736688994516099,1.57592731770575e-05,122.3634440768295
5388.68947072072,4.632752770040589e-05,148.5580151884271,2.337292163028262e-05,160.1687005834062
5410.684121621622,6.678140961606241e-05,127.0107459521304,4.152953746761262e-05,20.87593646534715
5432.678772522522,5.450505727663239e-05,113.8839176019005,4.540904211306615e-05,55.28754815405929
5454.673423423424,2.940099097103045e-05,122.3464351032032,3.130416221279553e-05,110.2011061070022
5476.668074324324,1.536936397857135e-05,167.5345504516214,3.343628417012554e-05,179.1504664310484
